size_sqm,bedrooms,age_years,price
142,3,15,9972711
219,5,14,16911157
132,3,3,10384423
54,1,1,4416349
146,3,5,11153272
111,2,14,7427505
60,1,7,3842869
142,3,9,10874351
161,4,15,12082252
114,2,15,7570272
127,3,10,9328467
156,3,13,11560047
139,3,19,9468871
143,3,7,10778391
191,4,17,14149430
170,4,4,13536687
189,4,5,14637450
92,2,7,6751890
41,1,13,2468741
127,3,15,9171974
197,4,11,15010109
77,1,4,5386381
169,4,13,12963125
60,1,7,4411621
200,5,19,14814508
97,2,2,7729111
61,1,10,3820810
128,3,13,9412890
88,2,6,6953665
98,2,12,6960032
209,5,12,16239599
54,1,11,3271836
214,5,7,16665714
90,2,1,7386960
147,3,1,11534123
94,2,13,6545628
103,2,9,7272989
170,4,3,13658356
90,2,7,6618274
174,4,6,13725352
60,1,8,4171927
112,2,9,7951373
206,5,5,16658452
57,1,1,4225294
171,4,19,12609451
128,3,10,9425726
99,2,12,6811564
53,1,15,3087812
48,1,9,3108246
129,3,17,8988015
92,2,17,6034079
169,4,12,13120929
123,3,7,9763758
131,3,2,10575890
150,3,3,11905101
211,5,17,15646631
47,1,5,3162991
214,5,17,15824014
74,1,17,4293237
120,3,17,8258070
203,5,2,16306958
89,2,2,6852074
143,3,5,11345017
171,4,1,13766089
41,1,1,3187392
173,4,19,12448823
93,2,2,7443002
145,3,12,10888863
43,1,6,3097654
93,2,4,7469036
185,4,11,14300089
83,2,17,5300262
201,5,6,16232905
53,1,5,3745362
134,3,2,10864209
87,2,6,6863880
54,1,11,3319963
79,1,16,4930761
121,3,16,8638710
150,3,1,11840984
92,2,9,6684512
63,1,6,4398799
193,4,16,14167549
163,4,3,13464319
80,2,4,6464299
196,4,19,14348982
54,1,3,3864046
84,2,19,5466619
104,2,7,7452097
128,3,9,9670229
110,2,1,8438834
48,1,8,3013848
127,3,7,9582921
168,4,18,12304821
175,4,8,13365609
102,2,1,7987897
178,4,11,13311024
120,3,18,8230313
175,4,10,13539957
202,5,3,16284078
202,5,7,16137429
72,1,16,4421243
162,4,16,11873632
44,1,17,2171451
80,2,2,6143051
67,1,1,5186836
174,4,16,12789407
111,2,12,7959395
51,1,5,3832894
201,5,5,16081810
72,1,9,4593523
87,2,9,6164476
190,4,3,14993841
101,2,19,6472866
76,1,16,4326672
138,3,16,10178135
211,5,3,17074894
143,3,1,11158251
74,1,11,4874710
140,3,17,10190233
